elapsed_ms,cue,power_w,cadence_rpm,speed_kph,trajectory_y,velocity_y,target_velocity_y,calibrated_cruise_w,calibrated_hard_w
877,Cruise,11,23,6.18,122.039,53.383,55.000,108,227
1862,Cruise,134,40,13.02,174.539,49.639,49.055,108,227
2838,Cruise,142,48,15.83,193.599,2.467,-0.827,108,227
3815,Cruise,123,48,15.94,189.220,-8.758,-9.722,108,227
4788,Cruise,130,50,16.52,183.722,-1.971,-1.040,108,227
5765,Cruise,133,50,16.92,181.396,-3.481,-3.806,108,227
6739,Cruise,135,51,17.21,176.900,-5.295,-5.493,108,227
7713,Cruise,131,52,17.22,170.847,-6.483,-6.601,108,227
8884,Cruise,123,50,16.8,164.595,-4.812,-4.672,108,227
9858,Cruise,123,49,16.52,161.705,-1.132,-0.688,108,227
10832,Push,128,50,16.65,161.092,-0.445,-0.402,108,227
12199,Push,137,52,17.31,158.541,-2.830,-2.938,108,227
12784,Push,200,63,20.78,156.003,-5.727,-6.770,108,227
13747,Push,194,67,22.27,137.233,-33.942,-37.943,108,227
14733,Push,167,65,21.88,100.076,-37.736,-37.725,108,227
15698,Push,155,63,21.12,68.298,-25.987,-24.518,108,227
16880,Push,154,61,20.59,43.084,-17.903,-17.460,108,227
17853,Push,172,64,21.14,27.353,-16.822,-16.723,108,227
18829,Cruise,163,63,21.02,6.042,-24.553,-25.473,108,227
20390,Cruise,94,52,17.44,-28.778,-21.552,-21.448,108,227
20779,Cruise,116,48,16.45,-35.582,-8.669,0.000,108,227
21947,Cruise,113,45,15.82,-37.595,-0.084,0.000,108,227
22728,Cruise,114,44,15.450000000000001,-37.614,-0.003,0.000,108,227
23704,Cruise,114,44,15.3,-37.615,-0.000,0.000,108,227
24862,Cruise,87,40,13.47,-37.615,-0.000,0.000,108,227
25848,Cruise,113,43,14.38,-37.083,2.349,3.485,108,227
26810,Cruise,124,46,15.290000000000001,-36.179,0.063,0.000,108,227
27797,Cruise,118,46,15.5,-36.175,-0.130,-0.373,108,227
28772,Easy,107,45,14.89,-36.251,-0.006,0.000,108,227
29749,Easy,67,36,11.91,-36.252,-0.000,0.000,108,227
30713,Easy,0,0,7.21,-31.649,11.827,14.294,108,227
31700,Easy,50,21,7.18,-0.363,47.867,52.075,108,227
32868,Easy,64,24,8.11,45.333,28.665,27.091,108,227
33843,Easy,70,26,9.040000000000001,67.252,19.643,18.645,108,227
34819,Easy,75,29,9.73,84.517,15.184,14.768,108,227
35783,Easy,80,30,10.47,96.706,12.228,11.857,108,227
36768,Cruise,76,30,10.38,107.458,9.256,8.929,108,227
37731,Cruise,73,30,10.14,117.403,10.673,10.875,108,227
38722,Cruise,113,39,13.09,128.172,12.402,12.610,108,227
39882,Cruise,162,51,16.87,133.388,0.175,0.000,108,227
40863,Cruise,128,51,16.82,126.417,-16.066,-18.812,108,227
41837,Cruise,102,46,15.34,114.800,-5.784,-4.170,108,227
42813,Cruise,97,42,14.19,113.173,-0.112,0.000,108,227
43786,Cruise,110,43,14.41,113.148,-0.003,0.000,108,227
44764,Cruise,119,45,15.02,113.147,-0.000,0.000,108,227
45738,Cruise,94,41,13.84,113.147,-0.000,0.000,108,227
46908,Push,106,42,13.98,113.147,-0.000,0.000,108,227
47883,Push,104,41,13.89,113.148,0.000,0.000,108,227
48858,Push,144,49,16.330000000000002,113.148,0.000,0.000,108,227
49831,Push,146,53,17.56,110.059,-8.182,-9.980,108,227
50797,Push,151,55,18.43,100.507,-11.930,-12.255,108,227
51781,Push,149,56,18.8,86.951,-14.588,-14.882,108,227
52746,Push,148,56,18.96,73.577,-14.201,-14.107,108,227
53734,Push,152,57,19.240000000000002,59.662,-13.618,-13.553,108,227
54699,Coast,148,57,19.19,45.039,-15.248,-15.460,108,227
55878,Coast,86,47,15.81,29.111,-13.745,-13.603,108,227
56853,Coast,0,0,7.7700000000000005,23.750,0.657,2.545,108,227
57827,Coast,0,0,3.08,45.161,44.161,50.453,108,227
58804,Coast,12,0,0,97.028,54.232,54.726,108,227
59778,Coast,0,0,0,150.048,49.163,48.513,108,227
